"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"2.0","-","medvedenko (-) masha","false","-","medvedenko (-) masha","8.0"
"2.0","-","medvedenko (-) sorin","false","-","medvedenko (-) sorin","7.0"
"2.5","-","medvedenko (-) treplev","false","-","medvedenko (-) treplev","4.0"
"3.5","-","medvedenko (-) arkadina","false","-","medvedenko (-) arkadina","6.0"
"2.5","-","medvedenko (-) trigorin","false","-","medvedenko (-) trigorin","2.0"
"2.0","-","medvedenko (-) dorn","false","-","medvedenko (-) dorn","5.0"
"2.0","-","medvedenko (-) polina_andreevna","false","-","medvedenko (-) polina_andreevna","5.0"
"3.5","-","medvedenko (-) shamraev","false","-","medvedenko (-) shamraev","2.0"
"2.0","-","medvedenko (-) nina","false","-","medvedenko (-) nina","1.0"
"2.0","-","masha (-) sorin","false","-","masha (-) sorin","4.0"
"2.5","-","masha (-) treplev","false","-","masha (-) treplev","4.0"
"3.5","-","masha (-) arkadina","false","-","masha (-) arkadina","6.0"
"2.5","-","masha (-) trigorin","false","-","masha (-) trigorin","5.0"
"2.0","-","masha (-) dorn","false","-","masha (-) dorn","8.0"
"2.0","-","masha (-) polina_andreevna","false","-","masha (-) polina_andreevna","7.0"
"2.0","-","masha (-) nina","false","-","masha (-) nina","1.0"
"3.5","-","masha (-) shamraev","false","-","masha (-) shamraev","3.0"
"2.5","-","sorin (-) treplev","false","-","sorin (-) treplev","6.0"
"2.0","-","sorin (-) nina","false","-","sorin (-) nina","5.0"
"3.5","-","sorin (-) arkadina","false","-","sorin (-) arkadina","10.0"
"2.5","-","sorin (-) trigorin","false","-","sorin (-) trigorin","2.0"
"2.0","-","sorin (-) dorn","false","-","sorin (-) dorn","7.0"
"2.0","-","sorin (-) polina_andreevna","false","-","sorin (-) polina_andreevna","5.0"
"3.5","-","sorin (-) shamraev","false","-","sorin (-) shamraev","3.0"
"5.666666666666666","-","treplev (-) jakov","false","-","treplev (-) jakov","2.0"
"2.5","-","treplev (-) nina","false","-","treplev (-) nina","6.0"
"2.6666666666666665","-","treplev (-) arkadina","false","-","treplev (-) arkadina","7.0"
"2.5","-","treplev (-) polina_andreevna","false","-","treplev (-) polina_andreevna","4.0"
"2.5","-","treplev (-) dorn","false","-","treplev (-) dorn","3.0"
"2.6666666666666665","-","treplev (-) shamraev","false","-","treplev (-) shamraev","3.0"
"2.0","-","treplev (-) trigorin","false","-","treplev (-) trigorin","2.0"
"5.666666666666666","-","jakov (-) trigorin","false","-","jakov (-) trigorin","1.0"
"5.0","-","jakov (-) arkadina","false","-","jakov (-) arkadina","1.0"
"3.333333333333333","-","jakov (-) povar","false","-","jakov (-) povar","1.0"
"5.0","-","jakov (-) shamraev","false","-","jakov (-) shamraev","1.0"
"3.5","-","nina (-) arkadina","false","-","nina (-) arkadina","5.0"
"2.0","-","nina (-) polina_andreevna","false","-","nina (-) polina_andreevna","3.0"
"2.0","-","nina (-) dorn","false","-","nina (-) dorn","4.0"
"3.5","-","nina (-) shamraev","false","-","nina (-) shamraev","1.0"
"2.5","-","nina (-) trigorin","false","-","nina (-) trigorin","5.0"
"2.0","-","polina_andreevna (-) dorn","false","-","polina_andreevna (-) dorn","8.0"
"3.5","-","polina_andreevna (-) arkadina","false","-","polina_andreevna (-) arkadina","7.0"
"2.5","-","polina_andreevna (-) trigorin","false","-","polina_andreevna (-) trigorin","4.0"
"3.5","-","polina_andreevna (-) shamraev","false","-","polina_andreevna (-) shamraev","4.0"
"3.5","-","dorn (-) shamraev","false","-","dorn (-) shamraev","5.0"
"3.5","-","dorn (-) arkadina","false","-","dorn (-) arkadina","9.0"
"2.5","-","dorn (-) trigorin","false","-","dorn (-) trigorin","4.0"
"2.0","-","shamraev (-) arkadina","false","-","shamraev (-) arkadina","11.0"
"2.6666666666666665","-","shamraev (-) trigorin","false","-","shamraev (-) trigorin","6.0"
"9.333333333333332","-","shamraev (-) povar","false","-","shamraev (-) povar","1.0"
"2.6666666666666665","-","arkadina (-) trigorin","false","-","arkadina (-) trigorin","10.0"
"9.333333333333332","-","arkadina (-) povar","false","-","arkadina (-) povar","1.0"
